SA2_CODE21,pop,elderly,median_hhd_income,median_age,IRSD_score,IRSAD_score,area_km2,pop_density,elderly_pct
201011001,16835,2178,1952,34,1035.0,1011.0,52.7109,319.3836568907,12.937332937332938
201011002,12131,2826,1573,45,1042.0,1040.0,12.3787,979.9898212251691,23.295688731349433
201011005,7261,1334,1927,42,1068.0,1040.0,51.5855,140.75660796153957,18.372125051645778
201011006,10661,1578,1627,33,982.0,947.0,34.1607,312.08376877523006,14.801613357095958
201011007,4230,608,2065,41,1055.0,1005.0,104.7274,40.39057591423066,14.373522458628843
201011008,15333,3157,1191,38,910.0,886.0,67.5736,226.9081416411143,20.589578034305095
201011481,9691,2190,1209,41,959.0,940.0,19.2159,504.321941725342,22.598287070477763
201011482,14750,2836,1644,41,1034.0,1015.0,73.1419,201.662795196734,19.227118644067797
201011483,12225,2251,1396,37,980.0,963.0,22.2728,548.8757587730325,18.413087934560327
201011484,13086,2791,1020,39,881.0,861.0,10.5813,1236.710045079527,21.328136940241478
201021009,6559,1224,1731,43,1022.0,988.0,1038.8122,6.313942019548865,18.661381308126238
201021010,8085,2131,1238,49,986.0,955.0,856.7892,9.43639345593992,26.357452071737786
201021011,9955,2846,1343,53,1028.0,1011.0,920.7579,10.811745411035844,28.58864892014063
201021012,6372,1126,1813,44,1037.0,1001.0,850.3137,7.49370497029508,17.671060891399875
201031013,3532,1093,985,53,947.0,918.0,1714.2397,2.0603886375983476,30.94563986409966
201031014,4644,1178,1193,49,969.0,939.0,1863.0431,2.4926959553431693,25.366063738156765
201031015,4894,936,1455,43,997.0,955.0,922.0812,5.307558596791693,19.125459746628525
201031016,8160,2649,876,51,879.0,854.0,45.5379,179.191398812857,32.463235294117645
201031017,5526,1606,956,53,925.0,886.0,1627.5521,3.395283014288759,29.06261310170105
202011018,14929,3032,1267,39,919.0,918.0,16.0796,928.4434936192444,20.309464800053586
202011019,12949,2496,1223,38,912.0,888.0,32.9308,393.2185066867492,19.275619738975983
202011020,13988,3506,1408,44,1002.0,986.0,17.1489,815.6791397698977,25.064340863597366
202011021,9437,1650,1465,38,993.0,981.0,13.2029,714.7672102341153,17.484370032849423
202011022,21043,5108,1238,42,952.0,921.0,40.9147,514.3139262905507,24.274105403221974
202011023,5518,725,2203,37,1072.0,1024.0,42.9757,128.39814127518574,13.138818412468286
202011024,10719,1767,2217,39,1079.0,1050.0,56.4142,190.00535326212196,16.484746711446963
202011025,14446,1973,1689,34,997.0,961.0,67.7769,213.14046526176324,13.657759933545618
202021026,8344,1299,2040,41,1068.0,1025.0,796.8536,10.47118316338158,15.568072866730583
202021027,11352,3315,1200,50,998.0,984.0,83.9291,135.2570205089772,29.201902748414376
202021028,9225,2527,1317,52,1021.0,992.0,1514.9804,6.089187688500789,27.392953929539292
202021029,5062,1513,1115,53,965.0,932.0,756.8174,6.6885354380065785,29.8893717898064
202021030,10562,2495,1695,46,1036.0,1019.0,556.4897,18.97968641647815,23.622419996212837
202021031,7949,1732,2113,46,1065.0,1064.0,211.8678,37.51867910083552,21.788904264687382
202031032,4934,1029,1454,46,995.0,952.0,1440.2175,3.4258714395568726,20.85528982569923
202031033,7289,2140,1027,52,947.0,925.0,6193.3066,1.1769157367406935,29.359308547125806
203011034,7754,1114,2159,36,1055.0,1014.0,192.052,40.37448191114907,14.366778436935776
203011035,8111,1177,1898,40,1043.0,1002.0,1484.5293,5.463684684431625,14.511157687091606
203011036,6614,1251,1845,43,1054.0,1026.0,903.2574,7.322386730515577,18.91442394919867
203021037,15017,2832,1510,37,1014.0,995.0,9.3677,1603.0615839533718,18.858626889525205
203021039,13504,2521,1542,40,1016.0,1014.0,12.8171,1053.5924663145329,18.668542654028435
203021040,21200,3236,1719,37,1033.0,1022.0,32.0375,661.7245415528677,15.264150943396226
203021042,24034,4216,2111,38,1077.0,1070.0,40.587,592.1600512479365,17.541815761005243
203021043,20817,3082,1966,37,1027.0,994.0,588.6012,35.3669003732918,14.805207282509489
203021044,13272,2826,1589,41,1026.0,983.0,27.9287,475.21008854690695,21.292947558770344
203021045,15462,3878,1161,45,920.0,891.0,43.2941,357.1387325293747,25.080843357909714
203021046,10445,1839,2092,40,1073.0,1081.0,5.8078,1798.4434725713695,17.606510292005744
203021047,15795,3793,1386,42,971.0,956.0,21.9321,720.1772744060077,24.013928458372902
203021485,10300,1387,1988,31,1050.0,1021.0,18.1166,568.5393506507844,13.466019417475728
203021486,18325,2726,1230,36,849.0,849.0,74.351,246.46608653548708,14.875852660300136
203021487,24763,4386,1779,36,1031.0,1003.0,37.588,658.8006810684261,17.711908896337277
203021488,9051,1657,926,38,764.0,788.0,6.4625,1400.5415860735009,18.30736935145288
203031048,16797,4240,1424,45,1014.0,974.0,65.1496,257.8219973722018,25.242602845746266
203031049,6234,1987,1684,55,1078.0,1065.0,447.9915,13.915442592102753,31.873596406801415
203031051,9536,3698,1139,59,1001.0,972.0,71.8555,132.71078762238102,38.77936241610738
203031052,5519,2363,1521,61,1080.0,1064.0,61.6733,89.48767132616545,42.815727486863565
203031053,24607,4185,2281,40,1097.0,1092.0,126.3197,194.7993860023417,17.007355630511643
203031489,11333,1672,2201,35,1075.0,1064.0,88.2113,128.47560346576913,14.753375099267627
203031490,19394,4392,1882,44,1074.0,1055.0,68.7681,282.0202972017549,22.646179230689903
204011054,6828,2153,1135,54,989.0,953.0,2118.9554,3.222342480639281,31.5319273579379
204011055,6922,2301,1133,55,978.0,951.0,2057.9046,3.363615592287417,33.241837619185205
204011056,15563,2978,1574,40,1002.0,966.0,461.5233,33.720941066247356,19.135128188652573
204011057,10517,2665,1331,48,1028.0,990.0,3927.8774,2.677527562341941,25.339925834363413
204011058,4537,1289,1293,51,988.0,959.0,1294.3498,3.505234829101067,28.41084417015649
204011059,6569,1579,1165,45,902.0,884.0,79.3085,82.82844840086499,24.037144161972904
204011060,4645,751,1900,39,1046.0,1010.0,1688.8308,2.7504235474625403,16.167922497308933
204011061,238,27,900,43,916.0,893.0,856.2714,0.27794925767694684,11.344537815126051
204011062,4182,1218,1222,53,995.0,969.0,1474.2972,2.836605807838474,29.124820659971306
204021063,10822,3345,1142,51,950.0,922.0,315.3043,34.32239902849406,30.909258917020882
204021064,3781,966,1363,52,1021.0,986.0,2105.3239,1.795923183126359,25.548796614652208
204021065,4047,1063,1344,49,987.0,954.0,479.8352,8.434145723365022,26.266370150728935
204021066,19882,4908,1242,44,964.0,935.0,57.5836,345.27191769878925,24.68564530731315
204021067,9925,2276,1501,48,1037.0,1000.0,3587.526,2.766530472531767,22.93198992443325
204031068,4986,1315,1434,49,1029.0,1010.0,371.3306,13.427387885619984,26.373846770958686
204031069,8903,2168,1397,47,1046.0,1011.0,4253.6538,2.0930241196403903,24.35134224418735
204031070,3184,673,1493,47,1021.0,969.0,513.0897,6.205542617596884,21.136934673366834
204031071,4745,1296,1226,50,992.0,951.0,553.3639,8.574827523082009,27.312961011591145
204031072,6196,1774,1280,52,1000.0,968.0,6668.947,0.9290822074309483,28.631375080697225
204031073,15396,2809,1470,39,961.0,931.0,153.88,100.05198856251624,18.244998700961286
204031075,5221,1049,1833,45,1068.0,1032.0,708.198,7.372232059395819,20.0919364106493
204031491,12778,1696,2143,33,1054.0,1025.0,248.809,51.35666314321427,13.272812646736579
204031492,15082,3176,1214,41,920.0,900.0,30.3131,497.5406672362774,21.05821509083676
205011076,19773,4057,1452,39,990.0,953.0,326.806,60.50378512022424,20.517877914327617
205011077,6585,1523,1456,48,1019.0,985.0,2753.3275,2.3916515561624982,23.128321943811695
205011078,8368,1911,1452,43,1005.0,967.0,501.529,16.68497733929643,22.83699808795411
205011079,23051,4892,1590,41,1010.0,985.0,352.1791,65.45249277995202,21.222506615765045
205021080,0,0,0,0,,,2071.2834,0.0,
205021081,15684,4161,1194,45,951.0,920.0,155.0115,101.17958990139441,26.530221882172917
205021082,8290,1974,1323,48,1000.0,960.0,7377.4172,1.1236994974338717,23.811821471652593
205021083,0,0,0,0,,,93.8744,0.0,
205021084,11164,3893,1014,55,955.0,923.0,214.0352,52.15964476871094,34.87101397348621
205021085,6727,2085,926,55,932.0,912.0,11383.7,0.5909326493143705,30.994499777017985
205021086,6977,2981,1071,61,989.0,950.0,417.8856,16.69595697961356,42.726100042998425
205031087,9446,2973,1110,54,1005.0,971.0,1498.8468,6.302178448124251,31.473639635824686
205031088,139,47,1014,52,997.0,998.0,170.2291,0.8165466421428534,33.81294964028777
205031089,9842,2211,1384,46,1006.0,966.0,600.6912,16.384458437213663,22.464946149156674
205031090,11502,2974,1315,47,998.0,963.0,801.0085,14.359398183664718,25.85637280472961
205031091,13799,4047,1175,52,1005.0,971.0,100.5731,137.20368567738294,29.328212189289076
205031092,16,0,1333,31,,,481.5078,0.03322895288508307,0.0
205031093,26792,7966,1154,51,986.0,950.0,728.7626,36.763686830251714,29.73275604658107
205041094,11912,2312,1409,42,974.0,942.0,796.5231,14.954996283221416,19.408999328408328
205041095,17291,4212,1017,45,877.0,861.0,105.2836,164.23260602790936,24.35949337805795
205041096,14432,3286,942,43,824.0,820.0,85.4861,168.82276767802017,22.768847006651885
205041098,4707,791,1656,41,1003.0,950.0,342.7019,13.73496907954114,16.80475886976843
205041493,12000,2522,1386,41,951.0,926.0,108.33,110.77263915812794,21.016666666666666
205041494,16822,3203,1635,39,1011.0,978.0,41.3428,406.8906798765444,19.040542147188205
205051099,23,8,699,65,,,2955.6802,0.007781626713201246,34.78260869565217
205051100,4915,1294,1079,52,978.0,948.0,1610.8491,3.0511858621642465,26.327568667344863
205051101,14756,3374,1324,43,980.0,940.0,2532.3197,5.82706835949663,22.86527514231499
205051102,4928,825,1487,39,991.0,954.0,968.4597,5.088492582603076,16.741071428571427
205051103,15301,3363,1331,42,970.0,950.0,45.6023,335.5313218850804,21.978955623815438
205051104,5605,1666,1012,53,945.0,917.0,1931.8628,2.9013447538821078,29.723461195361285
206011106,12738,1121,2087,33,1076.0,1117.0,2.1682,5874.919287888571,8.800439629455173
206011107,14318,1760,1786,35,1047.0,1073.0,3.1795,4503.223777323478,12.292219583740746
206011109,10390,1520,2245,39,1069.0,1076.0,2.9887,3476.427878341754,14.629451395572666
206011495,12890,1491,2062,34,1054.0,1097.0,2.4091,5350.545846996803,11.567106283941039
206011496,12983,1346,2126,34,1068.0,1116.0,2.7334,4749.7622009219285,10.367403527690055
206011497,12535,1754,1944,37,1027.0,1060.0,3.7471,3345.2536628325906,13.992820103709613
206011498,14031,2002,2186,37,1042.0,1068.0,3.1876,4401.744259003639,14.268405673152307
206021110,8994,1218,2112,38,1070.0,1107.0,2.8853,3117.180189235088,13.542361574382921
206021112,18919,2576,1978,37,1048.0,1083.0,4.9972,3785.920115264548,13.615941645964375
206021499,15068,2089,2251,38,1064.0,1112.0,3.5134,4288.723174133318,13.86381736129546
206021500,10299,1234,2318,36,1080.0,1124.0,2.6316,3913.5886912904693,11.98174580056316
206031113,15191,1901,2192,37,1015.0,1062.0,3.8361,3960.0114699825344,12.513988545849516
206031115,9065,1049,1571,34,929.0,997.0,1.5808,5734.438259109312,11.571980143408716
206031116,16224,2528,2111,38,1067.0,1097.0,4.3551,3725.28759385548,15.581854043392504
206031501,16042,2595,2195,40,1073.0,1086.0,4.8886,3281.512089350734,16.176287245979303
206031502,12191,1828,2055,37,1071.0,1091.0,3.5543,3429.929944011479,14.994668197850874
206041117,16655,1358,1289,27,962.0,1050.0,1.8187,9157.640072579316,8.153707595316721
206041118,15493,944,1956,32,1044.0,1109.0,2.444,6339.198036006547,6.093074291615568
206041119,4896,1094,2345,42,1107.0,1156.0,2.8998,1688.3923029174425,22.344771241830067
206041120,77,0,2178,32,1119.0,1133.0,1.7093,45.04768033698005,0.0
206041121,10745,1096,2216,35,1044.0,1097.0,2.147,5004.65766185375,10.200093066542577
206041124,7297,742,1885,26,1055.0,1102.0,4.0491,1802.128868143538,10.168562422913526
206041125,6423,1463,2259,39,1103.0,1147.0,1.5027,4274.306248752247,22.77751829363226
206041127,0,0,0,0,,,6.1992,0.0,
206041503,9848,628,1511,30,995.0,1079.0,0.802,12279.30174563591,6.376929325751422
206041504,16870,324,1089,26,961.0,1051.0,0.5616,30039.17378917379,1.9205690574985181
206041505,15648,394,1446,29,994.0,1073.0,1.0051,15568.600139289621,2.5178936605316973
206041506,15637,1262,1718,31,981.0,1056.0,2.4248,6448.779280765424,8.070601777834623
206041507,0,0,7000,70,,,1.3511,0.0,
206041508,6463,542,2054,33,1055.0,1112.0,0.8496,7607.10922787194,8.386198359894784
206041509,16101,738,1880,31,1052.0,1104.0,0.804,20026.119402985074,4.583566238121856
206041510,7446,325,1784,31,1046.0,1099.0,0.8247,9028.737722808293,4.364759602471126
206051128,15825,2952,2303,41,1084.0,1132.0,4.6747,3385.243972875265,18.654028436018958
206051129,14818,1591,2093,38,1083.0,1117.0,2.553,5804.1519780650215,10.736941557565123
206051130,16192,2816,2347,43,1052.0,1108.0,2.7894,5804.8325804832575,17.391304347826086
206051134,15813,1559,1988,34,1066.0,1101.0,2.4135,6551.895587321318,9.858976791247708
206051511,1907,49,2407,32,1084.0,1141.0,7.6426,249.5224138382226,2.5694808599895125
206051512,11693,1881,2103,39,1029.0,1094.0,1.8897,6187.754670053448,16.086547507055503
206051513,11857,1088,1788,35,1047.0,1083.0,1.5375,7711.869918699186,9.176014168845407
