SA2_CODE21,LST,NDVI,NDBI,pop,elderly,median_hhd_income,median_age,IRSD_score,IRSAD_score,area_km2,pop_density,elderly_pct,SUHI
206011106,34.23224934128852,0.30421333725762933,-0.005894726684313753,12738,1121,2087,33,1076.0,1117.0,2.1682,5874.919287888571,8.800439629455173,0.6291110278144316
206011107,33.63158293580168,0.3295281815612283,-0.016928010302765608,14318,1760,1786,35,1047.0,1073.0,3.1795,4503.223777323478,12.292219583740746,0.028444622327590707
206011109,33.60313831347409,0.3644885289976152,-0.02800026740619151,10390,1520,2245,39,1069.0,1076.0,2.9887,3476.427878341754,14.629451395572666,0.0
206011495,34.17103142810038,0.24331097805594654,0.043755388717963,12890,1491,2062,34,1054.0,1097.0,2.4091,5350.545846996803,11.56710628394104,0.5678931146262869
206011496,35.033436220498274,0.21900548920807994,0.03673175063633663,12983,1346,2126,34,1068.0,1116.0,2.7334,4749.7622009219285,10.367403527690056,1.4302979070241832
206011497,33.9492190853894,0.3278974140083851,-0.01747616954222373,12535,1754,1944,37,1027.0,1060.0,3.7471,3345.25366283259,13.992820103709612,0.34608077191531095
206011498,33.663073893587935,0.32028799283227555,0.012543789611991069,14031,2002,2186,37,1042.0,1068.0,3.1876,4401.744259003639,14.268405673152309,0.05993558011384437
206021110,33.310278102311784,0.36167326248854903,-0.032181386970682,8994,1218,2112,38,1070.0,1107.0,2.8853,3117.180189235088,13.54236157438292,-0.2928602111623064
206021112,34.04434466042401,0.34098478446498015,-0.01141117499530705,18919,2576,1978,37,1048.0,1083.0,4.9972,3785.920115264548,13.615941645964377,0.4412063469499188
206021499,33.526189489380194,0.3529178784443837,-0.027939384704784166,15068,2089,2251,38,1064.0,1112.0,3.5134,4288.723174133318,13.86381736129546,-0.07694882409389692
206021500,33.18658096707289,0.36305865502658735,-0.038586009470233475,10299,1234,2318,36,1080.0,1124.0,2.6316,3913.588691290469,11.98174580056316,-0.41655734640119846
206031113,33.77816657243273,0.35210268215967455,-0.03449634854655699,15191,1901,2192,37,1015.0,1062.0,3.8361,3960.0114699825344,12.513988545849516,0.1750282589586405
206031115,32.99386739563586,0.34201528973521017,-0.04948974289930303,9065,1049,1571,34,929.0,997.0,1.5808,5734.438259109312,11.571980143408716,-0.6092709178382307
